'Chip_name'	'Experiment_name'	'Experiment_description'
'dinI_U_N0025_r1'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'dinI_U_N0025_r2'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'dinI_U_N0025_r3'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'dinP_U_N0025_r1'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'dinP_U_N0025_r2'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'dinP_U_N0025_r3'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'lexA_U_N0025_r1'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'lexA_U_N0025_r2'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'lexA_U_N0025_r3'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'lon_U_N0025_r1'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'lon_U_N0025_r2'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'lon_U_N0025_r3'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'luc_U_N0025_r1'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'luc_U_N0025_r2'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'luc_U_N0025_r3'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'mazF_U_N0025_r1'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'mazF_U_N0025_r2'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'mazF_U_N0025_r3'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'recA_U_N0025_r1'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'recA_U_N0025_r2'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'recA_U_N0025_r3'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'relA_U_N0025_r1'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'relA_U_N0025_r2'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'relA_U_N0025_r3'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'ruvA_U_N0025_r1'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'ruvA_U_N0025_r2'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'ruvA_U_N0025_r3'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'sulA_U_N0025_r1'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'sulA_U_N0025_r2'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'sulA_U_N0025_r3'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'umuD_U_N0025_r1'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'umuD_U_N0025_r2'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
'umuD_U_N0025_r3'	'upregulation_low_norfloxacin'	'12 overexpression perturbations (dinl, dinP, lexA, lon, luciferase, mazF, recA, relE, ruvA, sulA, umuD, uvrA) in LB with 0.025ug/ul norfloxacin antibiotic.'
