"x","y","majority","super_majority","absolute_majority","quorum"
"iclR","arpA",1,1,1,1
"iclR","yajC",1,1,0,1
"iclR","polA",1,0,0,0
"iclR","hemG",1,0,0,0
"iclR","aroL",1,1,0,1
"iclR","pldB",1,1,0,1
"iclR","glmS",1,0,0,0
"iclR","phoU",1,1,0,1
"iclR","bglF",1,1,0,1
"iclR","bglB",1,0,0,0
"iclR","emrD",1,0,0,0
"iclR","tisB",1,1,0,1
"iclR","gadA",1,0,0,0
"iclR","gadY",1,0,0,0
"iclR","gadW",1,1,0,1
"iclR","mdtF",1,1,0,1
"iclR","frlR",1,1,0,1
"iclR","yheU",1,1,0,1
"iclR","yheT",1,1,0,1
"iclR","gspI",1,0,0,0
"iclR","zntR",1,1,0,1
"zraR","zraS",1,1,0,1
"zraR","lldP",1,1,0,1
"hupA","yibL",1,0,0,0
"hupA","ugpB",1,0,0,0
"hupA","ygdT",1,0,0,0
"hupA","gcvB",1,0,0,0
"hupA","pphB",1,1,0,1
"hupA","proV",1,1,0,1
"hupA","ygaV",1,1,0,1
"hupA","csiR",1,0,0,0
"hupA","lepB",1,0,0,0
"hupA","rnc",1,0,0,0
"hupA","perR",1,1,0,1
"hupA","ykfA",1,1,0,1
"hupA","ypdF",1,1,0,1
"hupA","yfbO",1,1,0,1
"hupA","elaA",1,1,0,1
"hupA","yafK",1,1,0,1
"hupA","yeiU",1,1,0,1
"hupA","ivy",1,0,0,0
"hupA","nupX",1,1,0,1
"hupA","yohK",1,1,0,1
"hupA","yafC",1,0,0,0
"hupA","manX",1,1,0,1
"hupA","ynhG",1,0,0,0
"hupA","ydhZ",1,1,0,1
"hupA","ydhU",1,0,0,0
"hupA","ydhT",1,1,0,1
"hupA","malY",1,1,0,1
"hupA","asr",1,1,0,1
"hupA","dgsA",1,1,0,1
"hupA","ynfK",1,1,0,1
"hupA","lsrG",1,1,0,1
"hupA","lsrA",1,1,0,1
"hupA","lsrR",1,1,0,1
"hupA","lsrK",1,0,0,0
"hupA","ydeK",1,0,0,0
"hupA","maeA",1,0,0,0
"hupA","ydcS",1,1,0,1
"hupA","trg",1,1,0,1
"birA","trmA",1,1,0,1
"birA","yijD",1,1,0,1
"birA","oxyS",1,1,0,1
"birA","argB",1,0,0,0
"birA","argC",1,1,0,1
"birA","brnQ",1,1,0,1
"birA","pflC",1,1,0,1
"birA","pflD",1,0,0,0
"birA","yijE",1,0,0,0
"birA","katG",1,1,0,1
"birA","metF",1,1,1,1
"birA","metL",1,1,1,1
"birA","metB",1,1,0,1
"birA","rpmE",1,1,1,1
"birA","phoB",1,1,0,1
"birA","priA",1,1,1,1
"birA","ftsN",1,1,0,1
"birA","cdh",1,1,0,1
"birA","sbp",1,0,0,0
"birA","cpxR",1,1,0,1
"birA","cpxA",1,1,0,1
"birA","mak",1,1,0,1
"birA","ompL",1,0,0,0
"birA","ykiA",1,0,0,0
"birA","yihN",1,0,0,0
"birA","yihM",1,1,0,1
"birA","yihL",1,1,1,1
"birA","typA",1,1,0,1
"birA","glnL",1,1,0,1
"birA","glnG",1,1,0,1
"birA","mobB",1,1,0,1
"birA","aroM",1,1,0,1
"birA","ubiB",1,1,0,1
"birA","ilvE",1,0,0,0
"birA","ilvM",1,1,0,1
"birA","ilvG",1,1,0,1
"birA","yifB",1,1,0,1
"birA","yifE",1,0,0,0
"birA","ddlA",1,0,0,0
"birA","hsrA",1,1,0,1
"birA","rbsR",1,1,1,1
"birA","rbsK",1,1,0,1
"birA","rbsB",1,1,0,1
"birA","atpA",1,1,0,1
"birA","yidB",1,1,0,1
"birA","yidA",1,1,1,1
"birA","yicR",1,0,0,0
"birA","lyx",1,1,0,1
"birA","yiaL",1,1,0,1
"birA","insK",1,1,0,1
"birA","insJ",1,1,1,1
"birA","mokA",1,1,0,1
"birA","ldrD",1,1,0,1
"birA","yaiL",1,1,0,1
"birA","bcsB",1,1,0,1
"birA","mhpT",1,1,0,1
"birA","dctA",1,1,0,1
"birA","yhjJ",1,0,0,0
"birA","acpT",1,1,0,1
"birA","gntR",1,1,0,1
"birA","lacY",1,1,0,1
"birA","malT",1,1,0,1
"birA","malQ",1,1,0,1
"birA","yhgA",1,1,0,1
"birA","feoC",1,1,0,1
"birA","codB",1,1,0,1
"birA","def",1,1,0,1
"birA","acrE",1,1,0,1
"birA","fis",1,0,0,0
"birA","yhdP",1,1,0,1
"birA","yrbG",1,1,1,1
"birA","yrbE",1,1,0,1
"birA","rrmJ",1,1,0,1
"birA","nlpI",1,1,0,1
"birA","deaD",1,1,1,1
"birA","betT",1,1,0,1
"birA","mtr",1,0,0,0
"birA","yhbW",1,1,0,1
"birA","yhbS",1,1,1,1
"birA","yhbO",1,1,0,1
"birA","diaA",1,1,0,1
"birA","ykgE",1,1,0,1
"birA","alx",1,1,1,1
"birA","dnaG",1,1,0,1
"birA","mqsR",1,1,0,1
"birA","hybG",1,1,0,1
"birA","yqgA",1,1,0,1
"birA","scpA",1,1,0,1
"birA","fucA",1,1,0,1
"birA","ygaW",1,1,0,1
"birA","yfdT",1,0,0,0
"birA","yfdP",1,1,0,1
"birA","yfbR",1,0,0,0
"birA","arnB",1,1,0,1
"birA","yehS",1,1,0,1
"birA","yeeU",1,0,0,0
"birA","cobS",1,1,0,1
"birA","ynjA",1,1,0,1
"birA","cho",1,1,0,1
"birA","yaeT",1,0,0,0
"birA","lpp",1,1,0,1
"birA","ydeQ",1,0,0,0
"birA","hokB",1,1,0,1
"fabR","sthA",1,1,0,1
"fabR","oxyR",1,1,0,1
"fabR","phoR",1,0,0,0
"fabR","gldA",1,1,0,1
"fabR","metJ",1,1,0,1
"fabR","hslV",1,1,0,1
"fabR","glpF",1,1,0,1
"fabR","sodA",1,1,1,1
"fabR","yiiG",1,1,0,1
"fabR","yihU",1,1,0,1
"fabR","yihT",1,1,1,1
"fabR","yihQ",1,1,0,1
"fabR","yaiA",1,1,0,1
"fabR","caiA",1,0,0,0
"fabR","fadA",1,1,0,1
"fabR","fre",1,1,0,1
"fabR","tatD",1,1,0,1
"fabR","yigP",1,1,0,1
"fabR","yigA",1,1,0,1
"fabR","aslB",1,1,0,1
"fabR","hisR",1,1,0,1
"fabR","wzxE",1,1,0,1
"fabR","rffA",1,1,0,1
"fabR","rffC",1,1,0,1
"fabR","rffH",1,0,0,0
"fabR","rfe",1,0,0,0
"fabR","rho",1,0,0,0
"fabR","rbsC",1,1,1,1
"fabR","yidG",1,1,0,1
"fabR","dinD",1,0,0,0
"fabR","yicC",1,0,0,0
"fabR","rfaB",1,1,0,1
"fabR","rfaZ",1,1,1,1
"fabR","kbl",1,1,0,1
"fabR","ysaC",1,1,0,1
"fabR","frmR",1,1,1,1
"fabR","glyQ",1,0,0,0
"fabR","bcsC",1,1,0,1
"fabR","mhpF",1,0,0,0
"fabR","arsC",1,0,0,0
"fabR","mhpD",1,1,0,1
"fabR","livH",1,0,0,0
"fabR","gntK",1,0,0,0
"fabR","gntU",1,1,0,1
"fabR","asd",1,1,0,1
"fabR","glgB",1,0,0,0
"fabR","yrfF",1,0,0,0
"fabR","mrcA",1,1,0,1
"fabR","hofO",1,0,0,0
"fabR","damX",1,0,0,0
"fabR","gph",1,1,0,1
"fabR","cynR",1,1,0,1
"fabR","php",1,1,0,1
"fabR","yhfU",1,0,0,0
"fabR","yhfS",1,1,0,1
"fabR","frlB",1,1,0,1
"fabR","rplQ",1,0,0,0
"fabR","yhcE",1,0,0,0
"fabR","yhcA",1,0,0,0
"fabR","ryhA",1,1,0,1
"fabR","yrbC",1,1,1,1
"fabR","tdcR",1,1,0,1
"fabR","rpsP",1,0,0,0
"fabR","yfhH",1,1,0,1
"fabR","suhB",1,1,0,1
"fabR","ypfN",1,0,0,0
"fabR","argW",1,0,0,0
"fabR","nuoF",1,0,0,0
"fabR","yeiI",1,1,0,1
"fabR","yehP",1,0,0,0
"fabR","yehL",1,0,0,0
"fabR","mdtD",1,1,0,1
"fabR","yegD",1,1,0,1
"fabR","wza",1,0,0,0
"fabR","cpsB",1,0,0,0
"fabR","yaeB",1,0,0,0
"fabR","flhC",1,1,0,1
"fabR","motB",1,0,0,0
"fabR","yebY",1,0,0,0
"fabR","ynjH",1,0,0,0
"fabR","malI",1,1,0,1
"oxyR","oxyS",1,1,1,1
"oxyR","argH",1,1,0,1
"oxyR","argB",1,1,1,1
"oxyR","argC",1,1,0,1
"oxyR","brnQ",1,1,0,1
"oxyR","ppc",1,0,0,0
"oxyR","phoR",1,1,0,1
"oxyR","metJ",1,0,0,0
"oxyR","glpF",1,0,0,0
"oxyR","fpr",1,0,0,0
"oxyR","yiiS",1,0,0,0
"oxyR","tpiA",1,0,0,0
"oxyR","cdh",1,1,0,1
"oxyR","sbp",1,1,1,1
"oxyR","sbcC",1,1,1,1
"oxyR","fieF",1,1,0,1
"oxyR","cpxR",1,1,0,1
"oxyR","cpxA",1,1,0,1
"oxyR","sodA",1,1,1,1
"oxyR","yihU",1,1,1,1
"oxyR","yihT",1,1,1,1
"oxyR","yihQ",1,1,0,1
"oxyR","yihP",1,1,0,1
"oxyR","yihO",1,0,0,0
"oxyR","typA",1,1,0,1
"oxyR","glnA",1,1,1,1
"oxyR","glnG",1,1,0,1
"oxyR","fadB",1,0,0,0
"oxyR","yaiA",1,1,0,1
"oxyR","caiA",1,1,1,1
"oxyR","fadA",1,1,1,1
"oxyR","fre",1,1,1,1
"oxyR","ubiD",1,1,0,1
"oxyR","tatD",1,1,0,1
"oxyR","tatC",1,1,0,1
"oxyR","aslB",1,1,0,1
"oxyR","proM",1,1,0,1
"oxyR","hisR",1,1,0,1
"oxyR","wzyE",1,0,0,0
"oxyR","wzxE",1,1,0,1
"oxyR","rffA",1,1,0,1
"oxyR","rffC",1,1,0,1
"oxyR","rffH",1,1,0,1
"oxyR","rffD",1,1,0,1
"oxyR","rffE",1,0,0,0
"oxyR","rho",1,1,0,1
"oxyR","gpp",1,0,0,0
"oxyR","ilvM",1,1,0,1
"oxyR","ilvL",1,1,0,1
"oxyR","ddlA",1,1,0,1
"oxyR","rrsC",1,1,1,1
"oxyR","hsrA",1,1,0,1
"oxyR","rbsB",1,1,0,1
